I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-14.01183,101.60084,-114.65506,-7.44336,10.67613,11.93134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.44336,10.68163,11.93134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.68163,11.93134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43787,10.68163,11.93134,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.67888,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.68163,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.67613,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.67339,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.67339,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.67613,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.44336,10.67613,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.67339,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.67339,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44336,10.67064,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.67339,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43787,10.67064,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67339,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43787,10.67888,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43237,10.67339,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67339,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.68163,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67613,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67613,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43237,10.67613,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67888,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67888,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.67888,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43237,10.68437,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43237,10.68163,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43787,10.68712,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.68712,11.93683,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.68437,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.43237,10.68163,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.43237,10.68437,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.42688,10.68987,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.42688,10.68987,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.42688,10.68712,11.94232,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
